Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-brqh,checkpoint-xp91,checkpoint-i6ra,checkpoint-zs2s,checkpoint-a47v,checkpoint-1q1l,checkpoint-ulk4,checkpoint-84fo,checkpoint-satt,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,fname,PCimageLeft,PCimageRight,LDimageLeft,LDimageRight,ShowProgressBar,LDbuttonLeft,LDbuttonRight,CorrectAnswer,PCbuttonLeft,PCbuttonRight,
268,1568313159312,12/09/2019 18:32:39,1568313159171,-4,12/09/2019 14:32:39,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,182,88,1,Fixation,Zone1,content_audio,808.2550000399351,,,0,1,0,,,,,1,LD-S,SH019_CLR_refreshing.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
269,1568313159530,12/09/2019 18:32:39,1568313159401,-4,12/09/2019 14:32:39,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,182,88,2,LD screen,Zone3,response_keyboard_single,224.91500014439225,yes,1,1,0,0,,,,,1,LD-S,SH019_CLR_refreshing.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
270,1568313160514,12/09/2019 18:32:40,1568313160388,-4,12/09/2019 14:32:40,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,182,88,3,Screen 1,fixation,fixation,999.960000000021,,,0,1,0,,,,,1,LD-S,SH019_CLR_refreshing.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
271,1568313161311,12/09/2019 18:32:41,1568313161172,-4,12/09/2019 14:32:41,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,105,89,1,Fixation,Zone1,content_audio,775.690000038594,,,0,1,0,,,,,1,LD-S,NW042_ibirak.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
272,1568313161655,12/09/2019 18:32:41,1568313161529,-4,12/09/2019 14:32:41,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,105,89,2,LD screen,Zone1,response_keyboard_single,352.84999990835786,no,1,1,0,0,,,,,1,LD-S,NW042_ibirak.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
273,1568313162655,12/09/2019 18:32:42,1568313162521,-4,12/09/2019 14:32:42,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,105,89,3,Screen 1,fixation,fixation,999.9599999999919,,,0,1,0,,,,,1,LD-S,NW042_ibirak.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
274,1568313163548,12/09/2019 18:32:43,1568313163412,-4,12/09/2019 14:32:43,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,135,90,1,Fixation,Zone1,content_audio,882.6750000007451,,,0,1,0,,,,,1,LD-S,NW072_nomemtoly.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
275,1568313164032,12/09/2019 18:32:44,1568313163897,-4,12/09/2019 14:32:43,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,135,90,2,LD screen,Zone1,response_keyboard_single,480.27499997988343,no,1,1,0,0,,,,,1,LD-S,NW072_nomemtoly.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
276,1568313165033,12/09/2019 18:32:45,1568313164888,-4,12/09/2019 14:32:44,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,135,90,3,Screen 1,fixation,fixation,999.9599999999919,,,0,1,0,,,,,1,LD-S,NW072_nomemtoly.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
277,1568313165610,12/09/2019 18:32:45,1568313165472,-4,12/09/2019 14:32:45,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,24,91,1,Fixation,Zone1,content_audio,575.9600000455976,,,0,1,0,,,,,1,LD-S,FW022_hurdle.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
